ID,Description,Create Time,Author ID,Author Nickname,Music ID,Music Title,Digg Count,Share Count,Comment Count,Play Count,Engagement Rate
6869907100361919750,:D,1599524902,6851090643226805254,angie🤝,6867775368720435974,ICE,16800,27,118,72000,0.23534722222222224
6909544692682149125,comment your fav! 🥂 #whiteclaw #alcoholicdrinks #alcohol #ratingalcohol #rating #whiteclaws #aintnolaws #aintnolawsdrinkingclaws,1608753751,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,22200,667,543,191100,0.12250130821559393
6875327430370823430,I literally drank some after making this at 1am🤦🏽‍♂️#whiteclaw #drink #sponsorme #hardseltzer OC: @nameless.james,1600786957,6807998806216213510,Jkabobs,6863543209964948229,Heart Don't Stand a Chance,1043,10,7,14400,0.07361111111111111
6911394045679947014,Reply to @thechanchic y’all raspberry...🤢 #whiteclaw #alcoholicdrinks #alcohol #spikedseltzer,1609184338,6712189871371387909,LOUIS LEVANTI,6897097411034892290,Cry Baby (feat. DaBaby),9724,170,219,93900,0.1076996805111821
6879825637842980102,what your favorite white claw flavor says about you! Like & comment for part 2 #whiteclaw #alcohol #partying,1601834272,6750017713928717317,Audrey Peters🍒,6750908441163745281,In Da Club,35000,2032,662,344000,0.10957558139534884
7099503371643637038,"Don’t be shy claw lovers, which is your go-to flavor? 🎥 @Felicia LaLomia #whiteclaw #rank",1652981941,6713997619171197958,delish,6840186129753328389,sonido original,1215,39,39,76700,0.016857887874837028
7129972755419778310,From Water to White Claws lmao Stay Hydrated 🤣 #2twosis #whiteclaws #H2o #water,1660076149,6905189906184684545,Meh,7129972749205129990,original sound,2288,213,63,21900,0.11707762557077625
6924710327124905222,Reply to @lizznat_ WHOS PUMPED?! #seltzersquad #whiteclaw #millennialsoftiktok #nolawswithclaws #ThisorThatSBLV #greenscreen #newreleases,1612284774,6721419364095149062,CLAWS,6906539573732476929,Paparazzi,4829,1597,190,70000,0.09451428571428572
7193142230058536238,Replying to @rachellex1028 all the info for the new White Claw Vodka + Soda Hard Seltzers #hardseltzer #drinksoftiktok #cocktails #whiteclaw ,1674783945,6935098051615589381,BRITCHES’ DANCE BAR,7193142251013409582,original sound,280,10,8,10200,0.029215686274509805
6950780420774530310,NEW HIGHER ALCOHOL White Claws 😱 #LearnOnTikTok #over21 #whiteclaw #summer,1618354683,6559220858312310789,Ryan Rodal,6789995456064669697,Juless Edits,4920,840,85,94500,0.06185185185185185
7367777140970147118,COTTON CANDY TRULY #truly #cottoncandy #trulyseltzer #trulyseltzers #whiteclaw #whiteclaws #whiteclawsummer #whiteclawchallenge #cottoncandyicecream #summer2024 #summerdrink #summerdrinks #fyp #newtrend #newdrink #candy #2024bride  #alert ,1715444306,6889407379974587397,Yas,7362317730454308880,MILLION DOLLAR BABY (VHS),90800,35800,1098,772600,0.16528345845198034
6924710327124905222,Reply to @lizznat_ WHOS PUMPED?! #seltzersquad #whiteclaw #millennialsoftiktok #nolawswithclaws #ThisorThatSBLV #greenscreen #newreleases,1612284774,6721419364095149062,CLAWS,6906539573732476929,Paparazzi,4829,1597,190,70000,0.09451428571428572
6968973236717554949,White Claw run me my money #whiteclaw #hardseltzer #whiteclawchallenge,1622590528,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,32800,496,491,253700,0.13317698068584943
6761540201635466502,Last Christmas. Last white claw. Help me help me! 🥂 #lastchristmas #whiteclaw #lol #fyp #cheers,1574293762,93603804570386432,Kristy Swain,243190402286145536,Last Christmas (Remastered),1761,46,36,17700,0.10412429378531074
7343785970367483178,Green Apple White Claw Review #whiteclaw #nothingawhiteclawcantfix #chickthatdrinkswhiteclaw #greenapple #clawthirty #whenitjustfeelsright_ ,1709858439,6767780616467497990,KaySquad_,7343786074646285098,original sound,15100,833,409,316700,0.05160088411746132
7170400962698349867,White Claw Seltzer did not spike my blood sugar at all! But I did get a little tipsy! #type2diabetic #cgm #cgmuser #freestylelibre #whiteclaw #mounjaroupdate #mounjaro #mounjarocommunity ,1669489084,7129980358992921643,Susan | Walking on Sunshine ☀️,7170400985696471854,original sound,269,11,31,7432,0.04184607104413348
7139628826866273582,10/10 so refreshing especially for this weather 🥵 #fypシ #whiteclaw ,1662324377,6766747124342588421,Mellow ⭐️,7139628819253709611,original sound,236,6,0,22600,0.010707964601769912
7344160721661365546,i can’t believe i discovered the vodka soda 😍 #fyp #fypシ #hack #highnoon #whiteclaw #xyzabc #yw ,1709945691,6768631274871260166,grass,7344160806529649450,original sound,57500,12800,1075,1800000,0.03965277777777778
7193142230058536238,Replying to @rachellex1028 all the info for the new White Claw Vodka + Soda Hard Seltzers #hardseltzer #drinksoftiktok #cocktails #whiteclaw ,1674783945,6935098051615589381,BRITCHES’ DANCE BAR,7193142251013409582,original sound,280,10,8,10200,0.029215686274509805
6950780420774530310,NEW HIGHER ALCOHOL White Claws 😱 #LearnOnTikTok #over21 #whiteclaw #summer,1618354683,6559220858312310789,Ryan Rodal,6789995456064669697,Juless Edits,4920,840,85,94500,0.06185185185185185
6924710327124905222,Reply to @lizznat_ WHOS PUMPED?! #seltzersquad #whiteclaw #millennialsoftiktok #nolawswithclaws #ThisorThatSBLV #greenscreen #newreleases,1612284774,6721419364095149062,CLAWS,6906539573732476929,Paparazzi,4829,1597,190,70000,0.09451428571428572
7367777140970147118,COTTON CANDY TRULY #truly #cottoncandy #trulyseltzer #trulyseltzers #whiteclaw #whiteclaws #whiteclawsummer #whiteclawchallenge #cottoncandyicecream #summer2024 #summerdrink #summerdrinks #fyp #newtrend #newdrink #candy #2024bride  #alert ,1715444306,6889407379974587397,Yas,7362317730454308880,MILLION DOLLAR BABY (VHS),90800,35800,1098,772600,0.16528345845198034
6968973236717554949,White Claw run me my money #whiteclaw #hardseltzer #whiteclawchallenge,1622590528,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,32800,496,491,253700,0.13317698068584943
6761540201635466502,Last Christmas. Last white claw. Help me help me! 🥂 #lastchristmas #whiteclaw #lol #fyp #cheers,1574293762,93603804570386432,Kristy Swain,243190402286145536,Last Christmas (Remastered),1761,46,36,17700,0.10412429378531074
7343785970367483178,Green Apple White Claw Review #whiteclaw #nothingawhiteclawcantfix #chickthatdrinkswhiteclaw #greenapple #clawthirty #whenitjustfeelsright_ ,1709858439,6767780616467497990,KaySquad_,7343786074646285098,original sound,15100,833,409,316700,0.05160088411746132
7170400962698349867,White Claw Seltzer did not spike my blood sugar at all! But I did get a little tipsy! #type2diabetic #cgm #cgmuser #freestylelibre #whiteclaw #mounjaroupdate #mounjaro #mounjarocommunity ,1669489084,7129980358992921643,Susan | Walking on Sunshine ☀️,7170400985696471854,original sound,269,11,31,7432,0.04184607104413348
7139628826866273582,10/10 so refreshing especially for this weather 🥵 #fypシ #whiteclaw ,1662324377,6766747124342588421,Mellow ⭐️,7139628819253709611,original sound,236,6,0,22600,0.010707964601769912
7344160721661365546,i can’t believe i discovered the vodka soda 😍 #fyp #fypシ #hack #highnoon #whiteclaw #xyzabc #yw ,1709945691,6768631274871260166,grass,7344160806529649450,original sound,57500,12800,1075,1800000,0.03965277777777778
7367777140970147118,COTTON CANDY TRULY #truly #cottoncandy #trulyseltzer #trulyseltzers #whiteclaw #whiteclaws #whiteclawsummer #whiteclawchallenge #cottoncandyicecream #summer2024 #summerdrink #summerdrinks #fyp #newtrend #newdrink #candy #2024bride  #alert ,1715444306,6889407379974587397,Yas,7362317730454308880,MILLION DOLLAR BABY (VHS),90800,35800,1098,772600,0.16528345845198034
7211178501641358638,I feel you mama! Moming ain’t easy! #fyp #MomsOfTikTok #momhumor #GetCrackin #momlife #momcomedy #SeeHerGreatness #trending #bestfriend #foryou ,1678983344,6776441953346356230,carmenann,7175714007997778734,I been drinking,1798,51,156,27900,0.07186379928315412
6818319924436503813,This dance just makes me SMILE .  #whiteclaw #trending #fyp#dance#duet#duetwithme #dancechallenge,1587513819,6812236067983459333,Annica Eva,6804093117843770118,Laxed,1283,12,29,36700,0.036076294277929154
6892533022009199877,dead with white claw 💀 #target #whiteclaw #funny #comedy #ifeellikeimdead #challenge #viral #trending #MyHobby,1604792935,6798893899803034629,Ortizfamily275,6847587396981230342,,2259,39,24,55200,0.042065217391304345
7332932181079313710,Going through my #drafts and found this gem 💎 #chickthatdrinkswhiteclaw #koolsquad_ #notmyfaultyouresoft_ #clawthirty #tunefliprealquick #nothingawhiteclawcantfix ,1707331367,6767780616467497990,KaySquad_,7299596010534505262,original sound,34900,691,466,620400,0.05811895551257253
6918559615705730309,Simple White Claw Cocktail 🍹 #aintnolaws #whiteclaw #maliburum #cocktails #bartender #bartenderlife #bartenderlifestyle #fyp #bartend #bartendergirl,1610852703,6850206215394837509,Yellowbellykelly,6799585653702019073,Lofi,300,37,1,13000,0.026
6940308990945496326,I luv this trend 🤡#momsoftiktok #momsover30 #whiteclaw #whiteclawlover #FYP #momtruths,1615916612,6802404521399124997,Beth Crosby 🍷 Garbagemom,6925568485791697669,original sound,1170,4,9,11100,0.10657657657657657
6968973236717554949,White Claw run me my money #whiteclaw #hardseltzer #whiteclawchallenge,1622590528,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,32800,496,491,253700,0.13317698068584943
6973376838294949126,#whiteclaw #whiteclawrecipes #summerworkout #summerbody #lowcalorierecipe #cocktail #wieghtlossmeals #lowcarb #lowcalorierecipe,1623615821,6759277731429893125,jennfletchlifestyle,6704937572830808065,Day Drunk,132800,33000,631,2400000,0.06934625
6968973236717554949,White Claw run me my money #whiteclaw #hardseltzer #whiteclawchallenge,1622590528,6712189871371387909,LOUIS LEVANTI,6746993352891189249,Monkeys Spinning Monkeys,32800,496,491,253700,0.13317698068584943
7367777140970147118,COTTON CANDY TRULY #truly #cottoncandy #trulyseltzer #trulyseltzers #whiteclaw #whiteclaws #whiteclawsummer #whiteclawchallenge #cottoncandyicecream #summer2024 #summerdrink #summerdrinks #fyp #newtrend #newdrink #candy #2024bride  #alert ,1715444306,6889407379974587397,Yas,7362317730454308880,MILLION DOLLAR BABY (VHS),90800,35800,1098,772600,0.16528345845198034
7191589487179484462,#celsius #celsiuslivefit #whiteclawchallenge #grownups #highschoolteacher ,1674422423,169329114288472064,Laura McGuire,7191589500181629738,original sound,80,0,5,3269,0.026001835423676966
6847612497780903173,#mytypeofguy #mytype #whiteclawchallenge #whiteclaw70,1594334030,6568512964704976897,Samantha Corley,6694697147134118661,My Type,40,12,5,1687,0.033787788974510964
6875427821611797765,Is that what friends are for? #drinkinggame #havinghun #funnyvideos #friends #whiteclawchallenge,1600810319,6800109513136636934,Kristy,6874689874084104965,intervention,1401,99,49,21500,0.07204651162790697
6797542671331118341,Ain’t no laws when drinkin claws #whiteclaw #whiteclawchallenge #whiteclawshirt #custom #tshirt #smallshop #smallbusiness,1582676239,6636486535498022918,Hope Beckham,5000000000529843558,Cannibal,1520,60,35,24800,0.06512096774193549
6911839222005566726,You have to try this 😂 #fyp #tastetestchallenge #whiteclaw,1609287988,125266255846002688,Lexy Burke,6839324086548563969,Blade Runner 2049,27000,347,142,192500,0.1428
7139628826866273582,10/10 so refreshing especially for this weather 🥵 #fypシ #whiteclaw ,1662324377,6766747124342588421,Mellow ⭐️,7139628819253709611,original sound,236,6,0,22600,0.010707964601769912
7005965152222792966,@white claw *waves lighter in air* #ShowYourGlow #36SecondsOfLightWork #someonelikeyouchallenge #whiteclaw #singing,1631203377,6611502451625754629,Kayla Barry,6523902121509655567,oryginalny dźwięk,1536,306,128,19400,0.10154639175257732
7171651694248463658,"Thats what 96 cases of White Claw SURF look like, if you save all the cans and make a wall in your garage 😜 #whiteclaw #clawqueen #whiteclawwall #savingchallenge #wavemakerstayathome  #isthisofficialwallbuilderorwhat #whiteclawsurf #wcwavemakers ",1669780290,6801206532942087174,MaggieSowa,6990441958090999809,"Unstoppable (I put my armor on, show you how strong I am)",36,2,1,1127,0.03460514640638864
